EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,NumCompaniesWorked,Over18,DistanceFromHome,Attrition,PerformanceRating,EmployeeCount,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel,StandardHours,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,OverTime,BusinessTravel,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear
1,41,Female,Single,2,"Life Sciences",8,Y,1,Yes,3,1,5993,19479,1102,94,11,0,80,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,2,1,1,8,6,4,0,5,0
2,49,Male,Married,1,"Life Sciences",1,Y,8,No,4,1,5130,24907,279,61,23,1,80,"Research & Development","Research Scientist",2,2,2,No,Travel_Frequently,3,4,3,10,10,7,1,7,3
4,37,Male,Single,2,Other,6,Y,2,Yes,3,1,2090,2396,1373,92,15,0,80,"Research & Development","Laboratory Technician",1,2,3,Yes,Travel_Rarely,4,2,3,7,0,0,0,0,3
5,33,Female,Married,4,"Life Sciences",1,Y,3,No,3,1,2909,23159,1392,56,11,0,80,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Frequently,4,3,3,8,8,7,3,0,3
7,27,Male,Married,1,Medical,9,Y,2,No,3,1,3468,16632,591,40,12,1,80,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,1,4,3,6,2,2,2,2,3
8,32,Male,Single,2,"Life Sciences",0,Y,2,No,3,1,3068,11864,1005,79,13,0,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Frequently,4,3,2,8,7,7,3,6,2
10,59,Female,Married,3,Medical,4,Y,3,No,4,1,2670,9964,1324,81,20,3,80,"Research & Development","Laboratory Technician",1,4,1,Yes,Travel_Rarely,3,1,2,12,1,0,0,0,3
11,30,Male,Divorced,1,"Life Sciences",1,Y,24,No,4,1,2693,13335,1358,67,22,1,80,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,4,2,3,1,1,0,0,0,2
12,38,Male,Single,3,"Life Sciences",0,Y,23,No,4,1,9526,8787,216,44,21,0,80,"Research & Development","Manufacturing Director",3,2,3,No,Travel_Frequently,4,2,3,10,9,7,1,8,2
13,36,Male,Married,3,Medical,6,Y,27,No,3,1,5237,16577,1299,94,13,2,80,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,3,2,2,17,7,7,7,7,3
14,35,Male,Married,3,Medical,0,Y,16,No,3,1,2426,16479,809,84,13,1,80,"Research & Development","Laboratory Technician",1,4,2,No,Travel_Rarely,1,3,3,6,5,4,0,3,5
15,29,Female,Single,2,"Life Sciences",0,Y,15,No,3,1,4193,12682,153,49,12,0,80,"Research & Development","Laboratory Technician",2,2,3,Yes,Travel_Rarely,4,4,3,10,9,5,0,8,3
16,31,Male,Divorced,1,"Life Sciences",1,Y,26,No,3,1,2911,15170,670,31,17,1,80,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,1,4,2,5,5,2,4,3,1
18,34,Male,Divorced,2,Medical,0,Y,19,No,3,1,2661,8758,1346,93,11,1,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,2,3,3,3,2,2,1,2,2
19,28,Male,Single,3,"Life Sciences",5,Y,24,Yes,3,1,2028,12947,103,50,14,0,80,"Research & Development","Laboratory Technician",1,2,3,Yes,Travel_Rarely,3,2,3,6,4,2,0,3,4
20,29,Female,Divorced,4,"Life Sciences",1,Y,21,No,3,1,9980,10195,1389,51,11,1,80,"Research & Development","Manufacturing Director",3,4,1,No,Travel_Rarely,2,3,3,10,10,9,8,8,1
21,32,Male,Divorced,2,"Life Sciences",0,Y,5,No,3,1,3298,15053,334,80,12,2,80,"Research & Development","Research Scientist",1,4,2,Yes,Travel_Rarely,1,4,2,7,6,2,0,5,5
22,22,Male,Divorced,2,Medical,1,Y,16,No,3,1,2935,7324,1123,96,13,2,80,"Research & Development","Laboratory Technician",1,4,4,Yes,Non-Travel,4,2,2,1,1,0,0,0,2
23,53,Female,Married,4,"Life Sciences",2,Y,2,No,3,1,15427,22021,1219,78,16,0,80,Sales,Manager,4,2,4,No,Travel_Rarely,1,3,3,31,25,8,3,7,3
24,38,Male,Single,3,"Life Sciences",5,Y,2,No,3,1,3944,4306,371,45,11,0,80,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,4,3,3,6,3,2,1,2,3
