EmployeeNumber,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,OverTime,BusinessTravel,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance
1,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,2,1,1
2,"Research & Development","Research Scientist",2,2,2,No,Travel_Frequently,3,4,3
4,"Research & Development","Laboratory Technician",1,2,3,Yes,Travel_Rarely,4,2,3
5,"Research & Development","Research Scientist",1,3,3,Yes,Travel_Frequently,4,3,3
7,"Research & Development","Laboratory Technician",1,3,2,No,Travel_Rarely,1,4,3
8,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Frequently,4,3,2
10,"Research & Development","Laboratory Technician",1,4,1,Yes,Travel_Rarely,3,1,2
11,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,4,2,3
12,"Research & Development","Manufacturing Director",3,2,3,No,Travel_Frequently,4,2,3
13,"Research & Development","Healthcare Representative",2,3,3,No,Travel_Rarely,3,2,2
14,"Research & Development","Laboratory Technician",1,4,2,No,Travel_Rarely,1,3,3
15,"Research & Development","Laboratory Technician",2,2,3,Yes,Travel_Rarely,4,4,3
16,"Research & Development","Research Scientist",1,3,3,No,Travel_Rarely,1,4,2
18,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,2,3,3
19,"Research & Development","Laboratory Technician",1,2,3,Yes,Travel_Rarely,3,2,3
20,"Research & Development","Manufacturing Director",3,4,1,No,Travel_Rarely,2,3,3
21,"Research & Development","Research Scientist",1,4,2,Yes,Travel_Rarely,1,4,2
22,"Research & Development","Laboratory Technician",1,4,4,Yes,Non-Travel,4,2,2
23,Sales,Manager,4,2,4,No,Travel_Rarely,1,3,3
24,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,4,3,3
26,"Research & Development","Manufacturing Director",2,4,3,No,Non-Travel,1,4,2
27,Sales,"Sales Representative",1,2,1,No,Travel_Rarely,3,2,3
28,"Research & Development","Research Director",3,3,2,No,Travel_Rarely,1,3,3
30,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,4,3
31,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,2,3,3
32,"Research & Development",Manager,5,3,3,No,Travel_Rarely,3,4,2
33,"Research & Development","Research Scientist",1,1,1,Yes,Travel_Frequently,2,2,3
35,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,3,4,3
36,"Research & Development","Healthcare Representative",3,2,4,No,Travel_Rarely,1,4,3
38,Sales,Manager,5,3,1,No,Travel_Rarely,2,4,2
39,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,4,3
40,"Research & Development","Healthcare Representative",2,3,4,Yes,Travel_Rarely,4,4,4
41,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Rarely,4,1,3
42,Sales,"Sales Representative",2,3,4,No,Travel_Rarely,4,3,4
45,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,2,1,2
46,"Research & Development","Research Scientist",1,4,3,No,Travel_Rarely,4,4,2
47,Sales,"Sales Representative",1,2,3,Yes,Travel_Rarely,1,3,3
49,Sales,"Sales Representative",1,3,4,No,Travel_Rarely,4,1,3
51,"Research & Development","Research Scientist",1,2,1,Yes,Travel_Rarely,2,4,4
52,Sales,"Sales Executive",2,4,1,No,Travel_Frequently,3,1,3
53,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,3,3
54,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,4,4,3
55,"Research & Development","Laboratory Technician",1,1,3,No,Travel_Rarely,1,3,2
